"Method","Time (ms)","Count"
"java.lang.ClassLoader.loadClass(String) ClassLoader.java","2611","8008"
"sun.misc.Launcher$AppClassLoader.loadClass(String, boolean) Launcher.java","2609","8006"
"java.lang.ClassLoader.loadClass(String, boolean) ClassLoader.java","2598","10800"
"java.net.URLClassLoader.findClass(String) URLClassLoader.java","2397","5013"
"java.net.URLClassLoader$1.run() URLClassLoader.java","2359","5413"
"java.net.URLClassLoader$1.run() URLClassLoader.java","2357","5413"
"org.springframework.context.support.PostProcessorRegistrationDelegate.invokeBeanDefinitionRegistryPostProcessors(Collection, BeanDefinitionRegistry) PostProcessorRegistrationDelegate.java","2241","2"
"org.springframework.context.annotation.ConfigurationClassPostProcessor.postProcessBeanDefinitionRegistry(BeanDefinitionRegistry) ConfigurationClassPostProcessor.java","2241","1"
"org.springframework.context.annotation.ConfigurationClassPostProcessor.processConfigBeanDefinitions(BeanDefinitionRegistry) ConfigurationClassPostProcessor.java","2241","1"
"java.lang.Thread.run() Thread.java","2048","3"
"org.springframework.context.annotation.ConfigurationClassParser.parse(Set) ConfigurationClassParser.java","1647","1"
"org.springframework.boot.autoconfigure.BackgroundPreinitializer$1.run() BackgroundPreinitializer.java","1492","1"
"org.springframework.boot.autoconfigure.BackgroundPreinitializer$1.runSafely(Runnable) BackgroundPreinitializer.java","1487","5"
"org.springframework.context.annotation.ConfigurationClassParser.processDeferredImportSelectors() ConfigurationClassParser.java","1470","1"
"sun.misc.URLClassPath.getResource(String, boolean) URLClassPath.java","1386","5710"
"java.net.URLClassLoader.defineClass(String, Resource) URLClassLoader.java","1296","2412"
"java.security.SecureClassLoader.defineClass(String, byte[], int, int, CodeSource) SecureClassLoader.java","1021","2412"
"java.lang.ClassLoader.defineClass(String, byte[], int, int, ProtectionDomain) ClassLoader.java","1008","2447"
"org.springframework.context.annotation.ConfigurationClassParser.processConfigurationClass(ConfigurationClass) ConfigurationClassParser.java","992","60"
"sun.misc.URLClassPath$JarLoader.getResource(String, boolean) URLClassPath.java","924","100466"
"org.springframework.context.annotation.ConfigurationClassParser.doProcessConfigurationClass(ConfigurationClass, ConfigurationClassParser$SourceClass) ConfigurationClassParser.java","922","41"
"org.springframework.boot.autoconfigure.BackgroundPreinitializer$MBeanFactoryInitializer.run() BackgroundPreinitializer.java","840","1"
"org.apache.catalina.mbeans.MBeanFactory.<clinit>() MBeanFactory.java","838","2"
"org.springframework.context.annotation.ConfigurationClassParser.processImports(ConfigurationClass, ConfigurationClassParser$SourceClass, Collection, boolean) ConfigurationClassParser.java","832","55"
"org.apache.catalina.mbeans.MBeanUtils.<clinit>() MBeanUtils.java","824","2"
"org.springframework.core.type.classreading.SimpleMetadataReaderFactory.getMetadataReader(String) SimpleMetadataReaderFactory.java","708","442"
"org.springframework.context.annotation.ConditionEvaluator.shouldSkip(AnnotatedTypeMetadata, ConfigurationCondition$ConfigurationPhase) ConditionEvaluator.java","705","162"
"org.springframework.context.annotation.ConfigurationClassParser.asSourceClass(String) ConfigurationClassParser.java","675","909"
"org.apache.catalina.mbeans.MBeanUtils.createRegistry() MBeanUtils.java","650","2"
"org.apache.tomcat.util.modeler.Registry.loadDescriptors(String, ClassLoader) Registry.java","647","15"
"org.apache.tomcat.util.modeler.Registry.load(String, Object, String) Registry.java","638","13"
"org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDigesterSource.execute() MbeansDescriptorsDigesterSource.java","629","13"
"org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDigesterSource.loadDescriptors(Registry, String, Object) MbeansDescriptorsDigesterSource.java","629","13"
"org.apache.tomcat.util.digester.Digester.parse(InputStream) Digester.java","608","13"
"org.springframework.boot.autoconfigure.condition.SpringBootCondition.matches(ConditionContext, AnnotatedTypeMetadata) SpringBootCondition.java","571","144"
"org.springframework.beans.factory.support.AbstractBeanFactory.getBean(String, Class) AbstractBeanFactory.java","566","204"
"org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(String, Class, Object[], boolean) AbstractBeanFactory.java","566","206"
"org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(String, ObjectFactory) DefaultSingletonBeanRegistry.java","559","15"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(String, RootBeanDefinition, Object[]) AbstractAutowireCapableBeanFactory.java","558","15"
"org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject() AbstractBeanFactory.java","558","15"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(String, RootBeanDefinition, Object[]) AbstractAutowireCapableBeanFactory.java","557","15"
"sun.reflect.annotation.AnnotationParser.parseAnnotations(byte[], ConstantPool, Class) AnnotationParser.java","547","998"
